aufstehen,to get up
verleihen,To lend
ausleihen,to loan 
"pflegen, erhalten",maintain
raiseren,shave
schwimmen,swim
passieren,happen
senken,lower
zeichnen,draw
vergessen,forget
fahren,drive
hinfallen,to fall
schlagen,to hit
(bei)behalten,to keep
einladen,invite
fallen,fall down
beginnen,start
lieben,love
springen,jump
sich befinden,to locate a thing ( find something)
sterben,to die
reparieren,to fix
treffen,to meet
jemand oder etwas zurücklassen,to leave something or someone
darstellen,to depict/ potray
eintreten,to enter
entwickeln,to develop
sich beeilen,to hurry up
schaffen ,to manage / create
nehmen,to take
tragen,to carry
tragen,to wear
benötigen,to need
tanzen,to dance
schreiben,to write
suchen,to look for
singen,to sing
studieren,to study
leben,to live
bestellen,to order
verlieren,to lose
fragen,to ask
anmelden,to sign up / register
um etwas bitten,to ask for
gehen,to walk
anfangen,to begin
denken,to think
abfahren,to leave
arbeiten,to work
rennen,to run
öffnen,to open
antworten,to answer
sehen,to see
verstehen,to understand
sprechen,to speak
reden,to talk
schlafen,to sleep
geben,to give
machen,to make
rauchen,to smoke
anrufen,to call
befinden,to find
essen,to eat
haben,to have
glauben,to believe
tun,to do
lesen,to read
setzen,to put
imstande sein,to be able to
fahren,to go
schulden,to owe
wollen,to want
wissen,to know
sein,to be
ankommen,to arrive
stellen,to place
sagen/erzählen,to say/tell
bevorzugen,to prefer
abnutzen,to wear out
frühstücken,to eat breakfast
verkaufen,to sell
lernen,to learn
spielen,to play
fortfahren,to continue
bezahlen,to pay
beenden,to finish
zu mittag essen,to eat lunch
mögen,to like
kennen,to know
kochen,to cook
erklären,to explain
steigen,to go up
bedienen,to serve
folgen,to follow
hören,to hear
(ver)reisen,to travel
anblicken,to look at
fühlen,to feel
trinken,to drink
sich anziehen,to get dressed
herausnehmen,to take out
besuchen,to visit
spielen,to play insturment
wiederholen,to repeat
warten auf,to wait for
ersehnen,to desire
erinnern,to remember
beobachten,to watch
ausliefern,to deliver
üben,to practice
erhalten,to get
sich baden,to bathe
empfangen,to receive
zurückkommen,to return
zählen,to count
sich unterhalten,to converse
verdienen,to earn
helfen,to help
krank werden,to get sick
gewinnen,to win
sich waschen,to wash oneself
stoppen,stop
freundlich sein,To be kind
fehlen,missing
weinen,cry
lachen,laugh
versuchen,try
höflich,polite
rude,rude
schreien,shout / scream
beschäftigt,busy
verfügbar,available
interesstante,interresting
mögliche,possible
geheimnisvoll,mysterious
caring,caring
wünschen,wishes
wohltat,blessing
speichern,save
lächeln,smile
starten,start
schmutzig,dirty
angedeutete,implied
bedeutung,meaning
tritt,kick
entscheiden,to decide
erforden,to require
unterrichten,to teach
kosten,to cost
schneien,to snow
versprechen,to promise
ausgeben,spend
verschicken,to send
planen,to plan
erlauben,to permit
ausruhen,to rest
geben,to give
zerstören,to destroy
einschließen,to include
verwenden,to use
überraschen,to surprise
berühren,to touch
versuchen,to try
besuchen,to attend
vorbereiten,to prepare
anstreichen,to paint
anziehen,to move
sich ärgern,to get angry
heiraten,to get married
zustimmen,to agree
überzeugen,to convince
sich aufhalten,to stay
sich abtrocknen,to dry off
sich widmen,to devote oneself in work
hinlegen,to lay down
spaß haben,to have fun
zeigen,to show
begreifen,to realize
verabschieden,to say good bye
duschen,shower
sich fertig machen,to get oneself ready
aufwachen,to wake up
sich sorgen,to worry
verbleiben,to remian
akzepteiren,to accept
sich hinsetzen,to sit down
regnen,to rain
wiederaufladen,to recharge
beschuldigen,to accuse
addieren,to add
beraten,to advise
hinzufügen,to add
vorsetzen,to advance
abkühlen,to cool
Werbung machen,to advertise
beschäftigt sein,to be busy
angreifen,to attack
vorrücken,to move forward
ankündigen,to announce
jemanden Bescheid sagen,to let know
schaffen,to create
durchqueren,to cross
weinen,to cry
bewundern,to admire
erleben,to experience
funktionieren,to function /run machine
einzahlen,to deposit
herausfinden,to find out
raten,to guess
verschenken,to give as present
Jemandes Aufmerksamkeit erlangen,to get someone's attention
ausdrücken,to express
fliegen,to fly
feststellen,to declare
bezweifeln,to doubt
loswerden von,to get rid of
wählen,to dial
wegwerfen,to throw away
markieren,to mark
schneiden,to cut
gestalten,to form/shape
begrüßen,to greet
bekämpfen,to fight
packen,to grab
jemand anstellen,to employ
erhalten,to get
umarmen,to hug
ausrauben,to rob
ausschalten,to turn off
schreien,to scream
töten,to kill
richten,to judge
aussprechen,to pronounce
anzeigen,to indicate
unterschreiben,to sign
vorstellen,to introduce
sparen,to save
erlauben,to let/allow
erreichen,to reach
andauern,to last
teilnehmen,to participate
führen,to guide
organisieren,to organise
experimentarien,to experiment
erwähnen,to mention
reservieren,to reserve
trennen,to seperate
besetzen,to occupy
anmelden,to register
drehen,to turn
abhängen von,to depend
verschwinden,to dissapear
schädlich sein,to be harmful ./ damaging
abholen,to pick up
geboren werden,to be born
anpassen,to fit
erwidern,to respond
liebe,love
